lat,lon,psi
54.888, -123.05, 0
54.844, -122.69, 0
54.798, -122.33, 0
54.751, -121.98, 0
54.703, -121.62, 0
54.654, -121.27, 0
54.603, -120.92, 0
54.552, -120.57, 0
54.499, -120.22, 0
54.445, -119.87, 0
54.389, -119.52, 0
54.333, -119.18, 0
54.275, -118.83, 0
54.216, -118.49, 0
54.155, -118.15, 0
54.094, -117.81, 0
54.032, -117.47, 0
53.968, -117.13, 0
53.903, -116.79, 0
53.837, -116.45, 0
53.77, -116.12, 0
53.702, -115.78, 0
53.632, -115.45, 0
53.562, -115.12, 0
53.49, -114.79, 0
53.417, -114.46, 0
53.344, -114.14, 0
53.269, -113.81, 0
53.193, -113.49, 0
53.116, -113.17, 0
53.038, -112.85, 0
52.959, -112.53, 0
52.878, -112.21, 0
52.797, -111.89, 0
52.715, -111.58, 0
52.632, -111.26, 0
52.548, -110.95, 0
52.463, -110.64, 0
52.376, -110.33, 0
52.289, -110.02, 0
52.201, -109.72, 0
52.112, -109.41, 0
52.022, -109.11, 0
51.931, -108.81, 0
51.839, -108.51, 0
51.747, -108.21, 0
51.653, -107.91, 0
51.558, -107.62, 0
51.463, -107.33, 0
51.367, -107.03, 0
51.269, -106.74, 0
51.171, -106.45, 0
51.072, -106.17, 0
50.973, -105.88, 0
50.872, -105.6, 0
50.771, -105.32, 0
50.668, -105.03, 0
50.565, -104.76, 0
50.461, -104.48, 0
50.357, -104.2, 0
50.251, -103.93, 0
50.145, -103.65, 0
50.038, -103.38, 0
49.931, -103.11, 0
49.822, -102.84, 0
49.713, -102.58, 0
49.603, -102.31, 0
49.492, -102.05, 0
49.381, -101.79, 0
49.269, -101.53, 0
49.156, -101.27, 0
49.043, -101.01, 0
48.929, -100.75, 0
48.814, -100.5, 0
48.699, -100.25, 0
48.583, -99.995, 0
48.466, -99.746, 0
48.349, -99.498, 0
48.231, -99.251, 0
48.112, -99.006, 0
47.993, -98.762, 0
47.873, -98.52, 0
47.753, -98.28, 0
47.632, -98.041, 0
47.511, -97.803, 0
47.388, -97.567, 0
47.266, -97.332, 0
47.143, -97.099, 0
47.019, -96.868, 0
46.895, -96.637, 0
46.77, -96.409, 0
46.645, -96.181, 0
46.519, -95.955, 0
46.392, -95.731, 0
46.266, -95.508, 0
46.138, -95.286, 0
46.011, -95.066, 0
45.882, -94.847, 0
45.754, -94.63, 0
45.624, -94.414, 0
45.495, -94.199, 0
45.365, -93.986, 0
45.234, -93.774, 0
45.103, -93.564, 0
44.972, -93.355, 0
44.84, -93.147, 0
44.708, -92.941, 0
44.575, -92.736, 0
44.442, -92.532, 0
44.309, -92.329, 0
44.175, -92.128, 0
44.041, -91.928, 0
43.907, -91.73, 0
43.772, -91.533, 0
43.637, -91.337, 0
43.501, -91.142, 0
43.365, -90.949, 0
43.229, -90.756, 0
43.092, -90.565, 0
42.955, -90.376, 0
42.818, -90.187, 0
42.681, -90, 0
42.543, -89.814, 0
42.405, -89.629, 0
42.266, -89.446, 0
42.127, -89.263, 0
41.988, -89.082, 0
41.849, -88.902, 0
41.709, -88.723, 0
41.57, -88.545, 0
41.429, -88.369, 0
41.289, -88.193, 0
41.149, -88.019, 0
41.008, -87.846, 0
40.867, -87.674, 0
40.725, -87.503, 0
40.584, -87.333, 0
40.442, -87.164, 0
40.3, -86.996, 0
40.158, -86.83, 0
40.015, -86.664, 0
39.873, -86.5, 0
39.73, -86.337, 0
39.587, -86.174, 0
39.444, -86.013, 0
39.3, -85.853, 0
39.157, -85.694, 0
39.013, -85.536, 0
38.869, -85.378, 0
38.725, -85.222, 0
38.581, -85.067, 0
38.436, -84.913, 0
38.292, -84.76, 0
38.147, -84.608, 0
38.002, -84.456, 0
37.857, -84.306, 0
37.712, -84.157, 0
37.567, -84.008, 0
37.421, -83.861, 0
37.276, -83.714, 0
37.13, -83.569, 0
36.984, -83.424, 0
36.839, -83.281, 0
36.693, -83.138, 0
36.547, -82.996, 0
36.4, -82.855, 0
36.254, -82.715, 0
36.108, -82.576, 0
35.961, -82.437, 0
